DomainName,EnumerantValue,EnumerantDefinition
HZD,johnstonIsland1961,The geodetic datum known as 'Johnston Island 1961' and intended to be used only in the geographic region of Johnston Island.
HZD,kalianpurIndia,The geodetic datum known as 'Kalianpur' and intended to be used only in the geographic region of India.
HZD,kandawalaSriLanka,The geodetic datum known as 'Kandawala' and intended to be used only in the geographic region of Sri Lanka.
HZD,kcs2SierraLeone,"The geodetic datum known as 'KCS 2, Sierra Leone' and whose geographic region of intended use is not specified."
HZD,kerguelenIsland1949,The geodetic datum known as 'Kerguelen Island 1949' and intended to be used only in the geographic region of Kerguelen Island.
HZD,kertau1948RevisedMalaysia,The geodetic datum known as 'Kertau 1948' or 'Revised Kertau' and intended to be used only in the geographic region of West Malaysia and Singapore.
HZD,kkjFinland,The geodetic datum known as 'KKJ' or 'Kartastokoordinaattijarjestelma' and intended to be used only in the geographic region of Finland.
HZD,koreanGeodeticSystem1995,The geodetic datum known as 'Korean Geodetic System 1995' and intended to be used only in the geographic region of South Korea.
HZD,kusaieAstro1951,The geodetic datum known as 'Kusaie Astro 1951' and intended to be used only in the geographic region of the Caroline Islands (Federated States of Micronesia).
HZD,kuwaitOilCompanyK28,The geodetic datum known as 'Kuwait Oil Company (K28)' and whose geographic region of intended use is not specified.
HZD,lc5Astro1961CaymanBracIs,The geodetic datum known as 'L.C. 5 Astro 1961' and intended to be used only in the geographic region of Cayman Brac Island.
HZD,leigonGhana,The geodetic datum known as 'Leigon' and intended to be used only in the geographic region of Ghana.
HZD,liberia1964Liberia,The geodetic datum known as 'Liberia 1964' and intended to be used only in the geographic region of Liberia.
HZD,lisbonCastelodiSaoJorge,The geodetic datum known as 'Lisbon (Castelo di Sao Jorge)' and intended to be used only in the geographic region of Portugal.
HZD,localAstro,A local geodetic datum established through astronomic observations.
HZD,lomaQuintanaVenezuela,The geodetic datum known as 'Loma Quintana' and intended to be used only in the geographic region of Venezuela.
HZD,luzonMindanaoIsland,The geodetic datum known as 'Luzon' and intended to be used only in the geographic region of Mindanao Island.
HZD,luzonPhilipinesNotMindanao,"The geodetic datum known as 'Luzon' and intended to be used only in the geographic region of the Philipines, excepting Mindanao Island."
HZD,mahe1971MaheIsland,The geodetic datum known as 'Mahe 1971' and intended to be used only in the geographic region of Mahe Island.
HZD,manokwariWestIrian,The geodetic datum known as 'Manokwari' and intended to be used only in the geographic region of West Irian.
HZD,marcoAstroSalvageIslands,The geodetic datum known as 'Marco Astro' and intended to be used only in the geographic region of Salvage Islands.
HZD,martiniqueFortDesaix,The geodetic datum known as 'Martinique Fort-Desaix' and whose geographic region of intended use is not specified.
HZD,massawEritreaEthiopia,"The geodetic datum known as 'Massawa' and intended to be used only in the geographic region of Eritrea, Ethiopia."
HZD,mayotteCombani,The geodetic datum known as 'Mayotte Combani' and whose geographic region of intended use is not specified.
HZD,merchichMorocco,The geodetic datum known as 'Merchich' and intended to be used only in the geographic region of Morocco.
HZD,midwayAstro1961MidwayIs,The geodetic datum known as 'Midway Astro 1961' and intended to be used only in the geographic region of Midway Island.
HZD,minnaCameroon,The geodetic datum known as 'Minna' and intended to be used only in the geographic region of Cameroon.
HZD,minnaNigeria,The geodetic datum known as 'Minna' and intended to be used only in the geographic region of Nigeria.
HZD,modifiedBJZ54China,The geodetic datum known as 'Modified BJZ54' and intended to be used only in the geographic region of China.
HZD,montjongLowe,The geodetic datum known as 'Montjong Lowe' and whose geographic region of intended use is not specified.
HZD,montserratIslandAstro1958,The geodetic datum known as 'Montserrat Island Astro 1958' and intended to be used only in the geographic region of Montserrat and Leeward Islands.
HZD,mountDillonTobago,"The geodetic datum known as 'Mount Dillon, Tobago' and whose geographic region of intended use is not specified."
HZD,mPoralokoGabon,The geodetic datum known as 'M'Poraloko' and intended to be used only in the geographic region of Gabon.
HZD,nahrwanMasirahIslandOman,"The geodetic datum known as 'Nahrwan' and intended to be used only in the geographic region of Masirah Island, Oman."
HZD,nahrwanSaudiArabia,The geodetic datum known as 'Nahrwan' and intended to be used only in the geographic region of Saudi Arabia.
HZD,nahrwanUnitedArabEmirates,The geodetic datum known as 'Nahrwan' and intended to be used only in the geographic region of the United Arab Emirates.
HZD,naparimaBwiTrinidadTobago,"The geodetic datum known as 'Naparima' and intended to be used only in the geographic region of the British West Indies, Trinidad and Tobago."
HZD,newFrenchZeroMeridianParis,"The geodetic datum known as 'New French' or 'Nouvelle Triangulation Francaise' whose zero meridian is set at Paris and is intended to be used only in the geographic region of continental France, Corsica and other surrounding islands."
HZD,northAm1927Alaska,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Alaska.
HZD,northAm1927Alberta,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Alberta and British Columbia.
HZD,northAm1927AleutianE,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Aleutian Islands East of 180 degrees West.
HZD,northAm1927AleutianW,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Aleutian Islands West of 180 degrees West.
HZD,northAm1927Bahamas,"The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Bahamas, except San Salvador Island."
HZD,northAm1927CanadMean,The geodetic datum known as 'North American 1927' and intended as a mean solution for the geographic region of Canada.
HZD,northAm1927CanalZone,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Canal Zone.
HZD,northAm1927Caribbean,"The geodetic datum known as 'North American 1927' and intended as a mean solution for the geographic region of the Caribbean (Barbados, Caicos Islands, Cuba, Dominican Republic, Grand Cayman, Jamaica, Leeward Islands, and Turks Islands)."
HZD,northAm1927CentAmer,"The geodetic datum known as 'North American 1927' and intended as a mean solution for the geographic region of Central America (Belize, Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua)."
HZD,northAm1927ConusMean,The geodetic datum known as 'North American 1927 'and intended as a mean solution for the geographic region of the continental United States.
HZD,northAm1927Cuba,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Cuba.
HZD,northAm1927EasternUs,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Eastern United States.
HZD,northAm1927HayesPen,"The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Hayes Peninsula, Greenland."
HZD,northAm1927Manitoba,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Manitoba and Ontario.
HZD,northAm1927Mexico,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Mexico.
HZD,northAm1927Newfound,"The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Newfoundland, New Brunswick, Nova Scotia and Quebec."
HZD,northAm1927NwTerSaskat,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Northwest Territories and Saskatchewan.
HZD,northAm1927Salvador,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of San Salvador Island.
HZD,northAm1927WesternUs,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of the Western United States.
HZD,northAm1927Yukon,The geodetic datum known as 'North American 1927' and intended to be used only in the geographic region of Yukon.
HZD,northAm1983AlaskaExAleut,"The geodetic datum known as 'North American 1983' and intended to be used only in the geographic region of Alaska, excluding Aleutian Islands."
HZD,northAm1983Aleutian,The geodetic datum known as 'North American 1983' and intended to be used only in the geographic region of Aleutian Islands.
HZD,northAm1983Canada,The geodetic datum known as 'North American 1983' and intended to be used only in the geographic region of Canada.
HZD,northAm1983Conus,The geodetic datum known as 'North American 1983' and intended to be used only in the geographic region of the continental United States.
HZD,northAm1983Hawaii,The geodetic datum known as 'North American 1983' and intended to be used only in the geographic region of Hawaii.
HZD,northAm1983Mexico,The geodetic datum known as 'North American 1983' and intended to be used only in the geographic region of Mexico and Central America..
HZD,northSahara1959,The geodetic datum known as 'North Sahara 1959' and intended to be used only in the geographic region of Algeria.
HZD,observMeteorologico1939,"The geodetic datum known as 'Observatorio Meteorologico 1939' and intended to be used only in the geographic region of the Corvo and Flores Islands, Azores."
HZD,ocotopequeGuatemala,"The geodetic datum known as 'Ocotopeque, Guatemala' and whose geographic region of intended use is not specified."
HZD,oldEgyptian,The geodetic datum known as 'Old Egyptian' and intended to be used only in the geographic region of Egypt.
HZD,oldHawaiianHawaiiIsland,The geodetic datum known as 'Old Hawaiian' and intended to be used only in the geographic region of Hawaii.
HZD,oldHawaiianKauaiIsland,The geodetic datum known as 'Old Hawaiian' and intended to be used only in the geographic region of Kauai.
HZD,oldHawaiianMauiIsland,The geodetic datum known as 'Old Hawaiian' and intended to be used only in the geographic region of Maui.
HZD,oldHawaiianMeanValue,The geodetic datum known as 'Old Hawaiian' and intended as a mean solution for the geographic region of the Hawaii Islands.
HZD,oldHawaiianOahuIsland,The geodetic datum known as 'Old Hawaiian' and intended to be used only in the geographic region of Oahu.
HZD,oman,The geodetic datum known as 'Oman' and intended to be used only in the geographic region of Oman.
HZD,ordnanceSurvGB1936England,The geodetic datum known as 'Ordnance Survey G.B. 1936' and intended to be used only in the geographic region of England.
HZD,ordnanceSurvGB1936ScotWale,"The geodetic datum known as 'Ordnance Survey G.B. 1936' and intended to be used only in the geographic region of England, the Isle of Man, and Wales."
